City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,prince rupert,54.3161,-130.3201,12.83,91,100,7.2,CA,1692517845
1,kerikeri,-35.2268,173.9474,11.62,90,14,1.34,NZ,1692518093
2,grytviken,-54.2811,-36.5092,-6.3,79,10,1.66,GS,1692518093
3,puerto ayora,-0.7393,-90.3518,24.19,88,7,2.68,EC,1692517910
4,joshimath,30.5667,79.5667,29.09,69,67,3.56,IN,1692518093
5,waitangi,-43.9535,-176.5597,11.57,94,100,3.58,NZ,1692518093
6,ibicarai,-14.865,-39.5875,17.37,99,15,0.88,BR,1692518094
7,wailua homesteads,22.0669,-159.378,26.44,85,20,6.69,US,1692518094
8,arraial do cabo,-22.9661,-42.0278,20.86,92,9,2.88,BR,1692518083
9,villa de soto,-30.8552,-64.9995,11.33,65,16,4.06,AR,1692518094
10,puerto natales,-51.7236,-72.4875,-1.4,90,100,1.29,CL,1692518094
11,dhari,21.3333,71.0167,26.65,71,100,4.95,IN,1692518094
12,horta,38.5333,-28.6333,21.8,86,75,2.57,PT,1692518083
13,isafjordur,66.0755,-23.124,9.45,95,98,3.61,IS,1692518095
14,nuuk,64.1835,-51.7216,10.34,71,100,19.03,GL,1692518095
15,bad wildungen,51.1196,9.1248,23.84,83,75,2.57,DE,1692518095
16,fonte boa,-2.4959,-66.2662,23.84,87,58,0.24,BR,1692518095
17,yellowknife,62.456,-114.3525,10.79,95,100,1.42,CA,1692518096
18,edinburgh of the seven seas,-37.0676,-12.3116,10.3,68,97,13.0,SH,1692518096
19,samamiya,11.3487,9.6399,26.09,74,100,2.99,NG,1692518096
20,bethel,41.3712,-73.414,16.42,84,0,2.06,US,1692518096
21,blackmans bay,-43.0167,147.3167,14.07,70,100,0.88,AU,1692518097
22,codrington,-38.2667,141.9667,12.4,92,100,3.1,AU,1692518088
23,thompson,55.7435,-97.8558,11.09,82,40,3.09,CA,1692518097
24,tiksi,71.6872,128.8694,4.1,95,99,4.64,RU,1692518097
25,port-aux-francais,-49.35,70.2167,1.88,74,100,11.98,TF,1692518097
26,levuka,50.1834,-105.4011,7.84,46,100,0.75,CA,1692518098
27,ayr,55.4627,-4.6339,16.95,88,40,4.12,GB,1692518098
28,terrigal,-33.45,151.45,17.38,67,0,3.82,AU,1692518098
29,invercargill,-46.4,168.35,8.34,87,99,3.58,NZ,1692517629
30,ushuaia,-54.8,-68.3,3.81,75,40,1.54,AR,1692518098
31,iqaluit,63.7506,-68.5145,3.85,100,100,5.66,CA,1692518099
32,longgang,37.6508,120.3286,29.32,68,99,1.49,CN,1692518099
33,west island,-12.1568,96.8225,26.99,74,75,5.66,CC,1692518099
34,avarua,-21.2078,-159.775,20.03,64,100,1.54,CK,1692518100
35,tidjikja,18.5564,-11.4271,28.4,55,100,6.12,MR,1692518100
36,fort bragg,35.139,-79.006,21.75,89,20,0.0,US,1692518100
37,albany,42.6001,-73.9662,14.33,91,1,1.94,US,1692518100
38,bilibino,68.0546,166.4372,5.55,69,100,1.78,RU,1692518101
39,hasaki,35.7333,140.8333,34.05,81,5,3.65,JP,1692518101
40,hawaiian paradise park,19.5933,-154.9731,25.73,88,100,1.54,US,1692518101
41,margate,51.3813,1.3862,19.37,83,0,1.79,GB,1692518102
42,macau,22.2006,113.5461,33.25,89,20,2.06,MO,1692518061
43,papatowai,-46.5619,169.4708,7.61,87,87,4.96,NZ,1692518103
44,college,64.8569,-147.8028,11.97,84,100,2.06,US,1692518104
45,ilulissat,69.2167,-51.1,9.01,93,100,2.57,GL,1692518096
46,hamilton,39.1834,-84.5333,19.56,88,0,2.06,US,1692517947
47,zaozersk,69.4005,32.4476,8.98,78,100,8.55,RU,1692518105
48,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,64,20,5.0,RU,1692518105
49,adamstown,-25.066,-130.1015,17.49,58,10,10.99,PN,1692518105
50,hagere maryam,5.6333,38.2333,22.59,44,97,3.11,ET,1692518105
51,corner brook,48.9667,-57.9484,16.09,97,89,1.78,CA,1692518106
52,viedma,-40.8135,-62.9967,5.17,87,54,3.63,AR,1692518106
53,galashki,43.1136,44.9894,29.53,30,0,2.87,RU,1692518107
54,wuzhou,23.4833,111.3167,31.99,67,75,1.56,CN,1692518107
55,oakham,52.6667,-0.7333,18.58,83,75,5.14,GB,1692518107
56,anadarko,35.0726,-98.2437,29.0,38,0,3.81,US,1692518108
57,altamira,-3.2033,-52.2064,21.79,71,9,1.73,BR,1692518108
58,ma'rib,15.4591,45.3253,34.89,15,97,2.79,YE,1692518108
59,margaret river,-33.95,115.0667,15.41,76,90,7.29,AU,1692518109
60,hornell,42.3279,-77.6611,13.67,99,13,2.04,US,1692517886
61,vilyuchinsk,52.9306,158.4028,21.15,87,2,1.88,RU,1692518109
62,qaqortoq,60.7167,-46.0333,7.63,66,100,1.91,GL,1692518109
63,nowy dwor gdanski,54.2131,19.1177,28.37,63,92,1.66,PL,1692517758
64,talnakh,69.4865,88.3972,18.45,86,100,3.01,RU,1692518110
65,donzdorf,48.6854,9.8105,27.93,75,0,0.28,DE,1692518110
66,anadyr,64.75,177.4833,10.28,76,0,4.0,RU,1692518110
67,new norfolk,-42.7826,147.0587,14.72,84,100,1.45,AU,1692518110
68,san luis de la loma,17.2706,-100.8939,26.17,82,100,2.36,MX,1692518111
69,bandarbeyla,9.4942,50.8122,32.26,47,98,9.83,SO,1692518111
70,magadan,59.5667,150.8,12.52,93,100,7.12,RU,1692517954
71,bardai,11.65,7.2333,22.09,91,100,3.13,NG,1692518112
72,sumter,28.7086,-82.0831,26.16,87,54,2.28,US,1692518112
73,andalgala,-27.5819,-66.3165,16.22,21,19,1.23,AR,1692518112
74,kingston,17.997,-76.7936,28.53,88,20,3.09,JM,1692518113
75,thames,-37.1333,175.5333,10.49,95,100,2.12,NZ,1692518113
76,cumberland,35.0502,-78.8664,22.12,87,0,2.06,US,1692518113
77,mili,6.0815,171.735,29.03,75,100,5.28,MH,1692518113
78,lazaro cardenas,17.9583,-102.2,26.11,85,78,1.55,MX,1692518114
79,lourdes,43.1,-0.05,21.71,88,100,1.54,FR,1692518115
80,sao joao da barra,-21.6403,-41.0511,21.27,88,100,6.81,BR,1692518115
81,enewetak,11.3474,162.3373,29.17,75,76,5.39,MH,1692517825
82,olonkinbyen,70.9221,-8.7187,6.54,91,100,5.03,SJ,1692518116
83,udachny,66.4167,112.4,19.14,29,100,9.06,RU,1692518116
84,ta`u,-14.2336,-169.5144,27.57,71,73,6.92,AS,1692518116
85,hovd,48.0056,91.6419,22.6,23,0,3.97,MN,1692518117
86,aykhal,66.0,111.5,15.8,34,63,8.34,RU,1692518117
87,qarqaraly,49.4058,75.4742,26.29,27,61,5.08,KZ,1692518117
88,san antonio de pale,-1.4014,5.6325,23.56,78,100,5.03,GQ,1692518117
89,hermanus,-34.4187,19.2345,16.56,73,0,3.63,ZA,1692518118
90,kapuskasing,49.4169,-82.4331,18.05,88,40,2.06,CA,1692518118
91,mata-utu,-13.2816,-176.1745,28.01,81,100,6.83,WF,1692518118
92,murun-kuren,49.6342,100.1625,18.25,37,82,7.0,MN,1692518118
93,elkins,38.9259,-79.8467,13.59,92,100,0.0,US,1692517952
94,praia da vitoria,38.7333,-27.0667,22.09,88,40,2.49,PT,1692518119
95,whitehorse,60.7161,-135.0538,12.67,61,20,2.57,CA,1692518119
96,polyarnyy,69.1989,33.4478,9.17,76,100,8.92,RU,1692518119
97,jamestown,42.097,-79.2353,17.62,98,0,2.06,US,1692518107
98,longyearbyen,78.2186,15.6401,5.91,81,75,3.09,SJ,1692518120
99,st. john's,47.5649,-52.7093,17.6,96,100,8.75,CA,1692518120
100,touros,-5.1989,-35.4608,23.68,89,27,4.29,BR,1692518121
101,alice springs,-23.7,133.8833,22.75,23,0,1.54,AU,1692518121
102,vila do maio,15.1333,-23.2167,25.44,76,91,3.21,CV,1692518121
103,atafu village,-8.5421,-172.5159,28.77,75,29,7.33,TK,1692518121
104,port mathurin,-19.6833,63.4167,23.03,74,2,6.64,MU,1692518122
105,narvik,68.4384,17.4272,16.26,67,6,1.85,NO,1692518122
106,douglas,41.3,-96.167,26.61,88,0,3.6,US,1692518038
107,bredasdorp,-34.5322,20.0403,13.96,70,0,2.22,ZA,1692518122
108,puerto baquerizo moreno,-0.9,-89.6,23.21,76,24,3.9,EC,1692518122
109,belyy yar,53.6039,91.3903,14.94,94,75,3.0,RU,1692518123
110,badger,64.8,-147.5333,11.93,86,100,2.06,US,1692518123
111,semenivka,52.1783,32.5818,27.88,49,4,1.88,UA,1692518123
112,lyubim,58.3625,40.6843,14.19,87,95,1.47,RU,1692518123
113,walvis bay,-22.9575,14.5053,10.61,62,11,2.94,,1692518124
114,ambon,-3.6954,128.1814,25.74,75,81,8.71,ID,1692518124
115,kirakira,-10.4544,161.9205,26.1,87,84,4.81,SB,1692518124
116,aasiaat,68.7098,-52.8699,5.69,93,100,8.22,GL,1692518124
117,hailey,43.5196,-114.3153,19.93,73,100,3.6,US,1692518125
118,port elizabeth,-33.918,25.5701,17.83,77,0,3.6,ZA,1692518125
119,illizi,26.4833,8.4667,30.89,14,41,6.79,DZ,1692518125
120,naze,28.3667,129.4833,27.51,79,77,4.27,JP,1692518125
121,green river,41.5286,-109.4662,20.22,51,98,0.4,US,1692518126
122,iskateley,67.6803,53.1512,5.71,95,100,8.36,RU,1692518126
123,mejit,10.2753,170.8646,28.42,77,14,7.67,MH,1692518126
124,tazovsky,67.4667,78.7,12.67,81,100,5.21,RU,1692518126
125,zanjan,36.6736,48.4787,26.83,29,20,2.06,IR,1692518127
126,parkes,-33.1333,148.1833,14.08,63,100,2.27,AU,1692518127
127,rawai,7.7797,98.3253,31.1,69,98,7.8,TH,1692518127
128,north bay,46.3168,-79.4663,17.75,88,100,3.6,CA,1692518127
129,rovaniemi,66.5,25.7167,14.67,54,0,2.06,FI,1692518128
130,soavinandriana,-19.1667,46.7333,24.18,34,0,1.24,MG,1692518128
131,selfoss,63.9331,-20.9971,11.14,77,100,4.82,IS,1692518128
132,flying fish cove,-10.4217,105.6791,25.82,83,75,5.66,CX,1692518129
133,mugia,43.1041,-9.2179,19.38,75,6,2.66,ES,1692518129
134,talcher,20.95,85.2167,32.21,65,87,5.62,IN,1692518129
135,mastung,29.7994,66.845,31.75,10,1,2.59,PK,1692518129
136,padang,-0.9492,100.3543,31.03,83,89,2.4,ID,1692518129
137,puerto el triunfo,13.2833,-88.55,25.37,89,96,2.42,SV,1692518130
138,novyy turtkul',41.55,61.0167,35.95,14,9,5.71,UZ,1692518130
139,kitui,-1.367,38.0106,25.36,36,100,4.51,KE,1692518130
140,crane,31.3974,-102.3501,26.72,36,0,4.36,US,1692518130
141,nakhon thai,17.1006,100.8374,30.57,76,100,0.95,TH,1692518131
142,san jose del guaviare,2.5729,-72.6459,22.37,99,97,0.32,CO,1692518131
143,lincheng,19.9078,109.6858,32.41,63,99,2.5,CN,1692518131
144,luau,-10.7073,22.2247,29.81,20,0,2.62,AO,1692518131
145,nova sintra,14.8667,-24.7167,23.06,75,99,4.99,CV,1692518132
146,tottori,35.5,134.2333,31.04,74,40,4.12,JP,1692518068
147,ebon,4.582,168.6964,28.31,72,72,1.23,MH,1692518132
148,akureyri,65.6835,-18.0878,9.96,93,75,3.6,IS,1692518132
149,yuzhno-kurilsk,44.0306,145.8556,19.89,99,99,1.32,RU,1692518132
150,westport,41.1415,-73.3579,19.3,80,0,0.45,US,1692518083
151,uturoa,-16.7333,-151.4333,25.78,77,6,3.66,PF,1692518133
152,mahwah,27.05,76.9333,35.72,47,100,4.63,IN,1692517929
153,villa gesell,-37.2639,-56.973,6.7,84,100,9.16,AR,1692518134
154,borogontsy,62.6683,131.1683,16.13,88,94,3.51,RU,1692518134
155,saldanha,-33.0117,17.9442,12.03,82,25,7.87,ZA,1692518134
156,vilyuysk,63.7553,121.6247,20.99,39,64,5.44,RU,1692518134
157,lebu,-37.6167,-73.65,12.26,98,100,4.08,CL,1692518134
158,utrik,11.2278,169.8474,28.54,78,36,6.91,MH,1692518135
159,motueka,-41.1333,173.0167,10.05,84,5,2.33,NZ,1692518135
160,laguna,38.421,-121.4238,26.09,50,0,2.06,US,1692518135
161,boaco,12.4722,-85.6586,21.46,96,92,2.51,NI,1692518110
162,la sarre,48.8002,-79.1996,14.27,95,48,3.11,CA,1692518135
163,luanda,-8.8368,13.2343,22.0,83,75,2.06,AO,1692518053
164,yarmouth,41.7057,-70.2286,21.09,86,0,3.13,US,1692518137
165,karachi,24.9056,67.0822,31.9,51,20,7.2,PK,1692517974
166,coronel dorrego,-38.7187,-61.2873,4.96,88,97,5.95,AR,1692518138
167,ban mo,14.6154,100.7273,34.43,60,100,2.9,TH,1692518138
168,dakhla,23.6848,-15.958,28.01,65,20,2.57,EH,1692518139
169,huilong,31.8111,121.655,29.41,75,7,7.16,CN,1692518139
170,baturaja,-4.1333,104.1667,34.01,43,51,3.07,ID,1692518139
171,manavalakurichi,8.1333,77.3,31.17,62,0,8.83,IN,1692518139
172,khanty-mansiysk,61.0042,69.0019,16.06,44,20,3.13,RU,1692517988
173,miracema do tocantins,-9.5618,-48.3967,26.21,44,51,1.74,BR,1692518140
174,klyuchi,52.2667,79.1667,28.27,39,50,4.79,RU,1692518140
175,kyshtovka,56.555,76.6271,15.54,76,95,3.91,RU,1692518140
176,bonthe,7.5264,-12.505,24.84,88,100,2.62,SL,1692518140
177,turochak,52.2576,87.1224,21.16,66,100,2.18,RU,1692518141
178,rathdrum,47.8137,-116.892,18.53,50,100,5.14,US,1692518141
179,lihue,21.9789,-159.3672,26.77,79,20,6.69,US,1692517899
180,chonchi,-42.6128,-73.8092,8.56,100,90,1.14,CL,1692518141
181,kodiak,57.79,-152.4072,10.57,88,36,2.7,US,1692518142
182,praia,14.9215,-23.5087,25.3,83,40,4.12,CV,1692518142
183,al 'amarah,31.8406,47.1396,45.63,8,0,0.42,IQ,1692518142
184,welkom,-27.9864,26.7066,16.31,18,7,0.56,ZA,1692518142
